class,threshold,val_dice,val_iou,val_precision,val_recall
Hard Exudate,0.7,0.47218032050263603,0.31974131226097513,0.42726570288708904,0.6233025822359859
Soft Exudate,0.2,0.23119538284133564,0.14867298410335328,0.16492394159132687,0.9048154174460283
Soft Exudate,0.22,0.24053244895842435,0.15629946911105577,0.17554624216038867,0.9002049488844611
Soft Exudate,0.24,0.24679179466063472,0.16126366255109686,0.18319458845558262,0.8944347379376996
Soft Exudate,0.26,0.25564923431184383,0.16888043394317023,0.19434313372180662,0.8915637278374661
Soft Exudate,0.28,0.26152484235382994,0.1738939802358914,0.20256371192836867,0.88787804880836
Soft Exudate,0.3,0.26681288707692796,0.17850695249001503,0.21069869196615193,0.8840670265096345
Soft Exudate,0.32,0.3615932594329219,0.2727570852302995,0.30850958498117587,0.8799122574869176
Soft Exudate,0.34,0.36562689962919187,0.2762418581595561,0.315340084205559,0.8762270894782863
Soft Exudate,0.36,0.36766194040850314,0.2778030345997075,0.3188172163113261,0.8724008445135304
Soft Exudate,0.38,0.37008605065131683,0.2799258621300322,0.32364868063004953,0.869061255440161
Soft Exudate,0.4,0.37435200314641487,0.28386441879794133,0.3303557251178107,0.8678946606516889
Soft Exudate,0.42,0.3769595133352084,0.286228835969916,0.3350741505434787,0.8654682142213118
Soft Exudate,0.44,0.378723371536833,0.28784662165278224,0.3395286100950672,0.8623172023134292
Soft Exudate,0.46,0.3802288062974565,0.28919293160276144,0.34530568982718474,0.8591063470205877
Soft Exudate,0.48,0.38250021311350596,0.29134546714158494,0.35242746105556977,0.8560672879275639
Soft Exudate,0.5,0.38533769165239523,0.29395922627372184,0.3572366166384574,0.8547987461295765
Soft Exudate,0.52,0.38613433741180364,0.294794166481031,0.3642944381909396,0.8506196878919482
Soft Exudate,0.54,0.3882253485069174,0.29668166283960756,0.3684439064067032,0.8484450525229257
Soft Exudate,0.56,0.3921217088166292,0.30021304706376417,0.3747771584497556,0.8476046385606696
Soft Exudate,0.58,0.3945231740398079,0.3025052298371557,0.3784964388097853,0.8459745988752615
Soft Exudate,0.6,0.39742155918953287,0.3051000302749503,0.3843820417911101,0.844875758557216
Soft Exudate,0.62,0.40096499090318377,0.3083383880500499,0.3911856406710262,0.8437389128146768
Soft Exudate,0.64,0.40376298967498364,0.3109795125570307,0.3959792780467222,0.8420884277410593
Soft Exudate,0.66,0.40581207772330374,0.3129550171185034,0.401306509300332,0.8398850906052672
Soft Exudate,0.68,0.4090438255492402,0.31599418766399245,0.4058337583576766,0.8382694945152747
Soft Exudate,0.7,0.4095666555281982,0.316577500352127,0.4106641829291005,0.8342052571799127
